ano,nr_mes,ds_mes,AMARELO,LARANJA,OUTROS,VERDE,VERMELHO
2020,01,janeiro,1084,928,280,3078,55
2020,02,fevereiro,2160,1681,524,5123,40
2020,03,março,3116,2522,860,6690,57
2020,04,abril,3622,3236,1780,7802,356
2020,05,maio,3907,5727,1360,2583,783
2020,06,junho,1729,930,426,2627,94
2020,07,julho,1504,875,525,4414,51
2020,08,agosto,1111,614,472,4160,31
2020,09,setembro,853,523,397,2740,46
2020,10,outubro,1154,663,546,4136,66
2020,11,novembro,1580,888,855,6350,48
2020,12,dezembro,1821,964,921,7901,65
2021,01,janeiro,2353,1201,1392,11134,89
2021,02,fevereiro,5398,3487,1831,14149,284
2021,03,março,8138,9131,1425,7143,942
2021,04,abril,8094,7028,1449,9334,465
2021,05,maio,6057,4043,1475,13791,148
2021,06,junho,3817,1820,1525,11333,103
2021,07,julho,2111,1035,1239,7677,36
2021,08,agosto,1597,868,874,6244,65
2021,09,setembro,1141,800,767,5222,41
2021,10,outubro,1310,894,796,5561,55
2021,11,novembro,1091,830,661,4032,51
2021,12,dezembro,7564,3578,2441,14280,111
2022,01,janeiro,6454,2738,4546,24257,207
2022,02,fevereiro,1397,768,776,5235,51
2022,03,março,2219,1322,1294,6923,67
2022,04,abril,4946,2215,1269,7644,122
2022,05,maio,4904,2087,1208,7078,80
2022,06,junho,5340,1806,987,8306,53
2022,07,julho,3360,1073,816,7581,74
2022,08,agosto,1959,822,485,4979,48
2022,09,setembro,1667,707,528,4252,41
2022,10,outubro,1478,755,444,3303,73
2022,11,novembro,2440,844,749,7654,49
