ano,nr_mes,ds_mes,AMARELO,LARANJA,OUTROS,VERDE,VERMELHO,PCT_AMARELO,PCT_LARANJA,PCT_OUTROS,PCT_VERDE,PCT_VERMELHO
2020,01,janeiro,1084,928,280,3078,55,,,,,
2020,02,fevereiro,2160,1681,524,5123,40,99.26,81.14,87.14,66.44,-27.27
2020,03,março,3116,2522,860,6690,57,44.26,50.03,64.12,30.59,42.5
2020,04,abril,3622,3236,1780,7802,356,16.24,28.31,106.98,16.62,524.56
2020,05,maio,3907,5727,1360,2583,783,7.87,76.98,-23.6,-66.89,119.94
2020,06,junho,1729,930,426,2627,94,-55.75,-83.76,-68.68,1.7,-87.99
2020,07,julho,1504,875,525,4414,51,-13.01,-5.91,23.24,68.02,-45.74
2020,08,agosto,1111,614,472,4160,31,-26.13,-29.83,-10.1,-5.75,-39.22
2020,09,setembro,853,523,397,2740,46,-23.22,-14.82,-15.89,-34.13,48.39
2020,10,outubro,1154,663,546,4136,66,35.29,26.77,37.53,50.95,43.48
2020,11,novembro,1580,888,855,6350,48,36.92,33.94,56.59,53.53,-27.27
2020,12,dezembro,1821,964,921,7901,65,15.25,8.56,7.72,24.43,35.42
2021,01,janeiro,2353,1201,1392,11134,89,29.21,24.59,51.14,40.92,36.92
2021,02,fevereiro,5398,3487,1831,14149,284,129.41,190.34,31.54,27.08,219.1
2021,03,março,8138,9131,1425,7143,942,50.76,161.86,-22.17,-49.52,231.69
2021,04,abril,8094,7028,1449,9334,465,-0.54,-23.03,1.68,30.67,-50.64
2021,05,maio,6057,4043,1475,13791,148,-25.17,-42.47,1.79,47.75,-68.17
2021,06,junho,3817,1820,1525,11333,103,-36.98,-54.98,3.39,-17.82,-30.41
2021,07,julho,2111,1035,1239,7677,36,-44.69,-43.13,-18.75,-32.26,-65.05
2021,08,agosto,1597,868,874,6244,65,-24.35,-16.14,-29.46,-18.67,80.56
2021,09,setembro,1141,800,767,5222,41,-28.55,-7.83,-12.24,-16.37,-36.92
2021,10,outubro,1310,894,796,5561,55,14.81,11.75,3.78,6.49,34.15
2021,11,novembro,1091,830,661,4032,51,-16.72,-7.16,-16.96,-27.5,-7.27
2021,12,dezembro,7564,3578,2441,14280,111,593.31,331.08,269.29,254.17,117.65
2022,01,janeiro,6454,2738,4546,24257,207,-14.67,-23.48,86.24,69.87,86.49
2022,02,fevereiro,1397,768,776,5235,51,-78.35,-71.95,-82.93,-78.42,-75.36
2022,03,março,2219,1322,1294,6923,67,58.84,72.14,66.75,32.24,31.37
2022,04,abril,4946,2215,1269,7644,122,122.89,67.55,-1.93,10.41,82.09
2022,05,maio,4904,2087,1208,7078,80,-0.85,-5.78,-4.81,-7.4,-34.43
2022,06,junho,5340,1806,987,8306,53,8.89,-13.46,-18.29,17.35,-33.75
2022,07,julho,3360,1073,816,7581,74,-37.08,-40.59,-17.33,-8.73,39.62
2022,08,agosto,1959,822,485,4979,48,-41.7,-23.39,-40.56,-34.32,-35.14
2022,09,setembro,1667,707,528,4252,41,-14.91,-13.99,8.87,-14.6,-14.58
2022,10,outubro,1478,755,444,3303,73,-11.34,6.79,-15.91,-22.32,78.05
2022,11,novembro,2440,844,749,7654,49,65.09,11.79,68.69,131.73,-32.88
