mes,ds_mes,2020,2021,2022
01,janeiro,,0.387419523229511,0.36151111430315663
02,fevereiro,0.7657506075902039,0.5343951840471561,-0.7857783404547133
03,março,0.38729486500794064,0.02059749070252148,0.4399162767791185
04,abril,0.23948714034953822,-0.007207784407159745,0.3674219752030783
05,maio,-0.20349732159349798,-0.005929092889121912,-0.053214107053526805
06,junho,-0.5750618429189858,-0.2604479428710541,0.08031173634502342
07,julho,0.3107149354193197,-0.3447632632907226,-0.21972244299076849
08,agosto,-0.12727272727272732,-0.20145692037176588,-0.3579095823865862
09,setembro,-0.29071246819338425,-0.17563175002621367,-0.13654667480170835
10,outubro,0.44663677130044843,0.08343932841516155,-0.1632278123233465
11,novembro,0.4840359578425295,-0.232214134773421,0.9655463604120926
12,dezembro,0.20041775456919053,3.257951070336391,
